LOCATION_ID,NAME,NAME_CODE,LOCATIONTYPE_ID,SOURCE_LOCATIONTYPE_NAME
3173,STARKE,,1006,CITY
3174,CHATTAHOOCHEE,,1006,CITY
3175,LAWTEY,,1006,CITY
1726,JAMESBURG,,1006,CITY
1727,KEANSBURG,,1006,CITY
1728,KEARNY,,1006,CITY
1729,KEYPORT,,1006,CITY
1730,LEBANON (HUNTERDON),,1006,CITY
1731,LONG BRANCH,,1006,CITY
1732,LONG VALLEY,,1006,CITY
1733,LAKEHURST,,1006,CITY
1734,LAKEWOOD,,1006,CITY
1735,LAKE MOHAWK,,1006,CITY
1736,LINDEN,,1006,CITY
1737,LANDING,,1006,CITY
1738,LITTLE FALLS,,1006,CITY
1739,LITTLE FERRY,,1006,CITY
1740,LAVALLETTE,,1006,CITY
1741,LIVINGSTON,,1006,CITY
1742,LYNDHURST,,1006,CITY
1743,MADISON,,1006,CITY
1744,MIDDLETOWN - MONMOUTH,,1006,CITY
1745,MILLINGTON,,1006,CITY
1746,MAHWAH,,1006,CITY
1747,MILLBURN,,1006,CITY
1748,MENDHAM,,1006,CITY
1749,MONMOUTH JUNCTION,,1006,CITY
1750,MANASQUAN,,1006,CITY
1751,MONTAGUE,,1006,CITY
1752,METUCHEN,,1006,CITY
1753,MONTCLAIR,,1006,CITY
1754,NORTH BERGEN,,1006,CITY
1755,NEWFOUNDLAND -PASSAI,,1006,CITY
1756,NEPTUNE,,1006,CITY
1757,NESHANIC,,1006,CITY
1758,NETCONG,,1006,CITY
1759,NUTLEY,,1006,CITY
1760,NEW PROVIDENCE,,1006,CITY
1761,BELLE MEAD,,1006,CITY
1762,OAKLAND,,1006,CITY
1763,OLDWICK,,1006,CITY
1764,OXFORD,,1006,CITY
1765,PERTH AMBOY,,1006,CITY
1766,PLAINFIELD,,1006,CITY
1767,PARSIPPANY,,1006,CITY
1768,PASSAIC,,1006,CITY
1769,PORT MURRAY-WARREN,,1006,CITY
1770,POINT PLEASANT -OCEA,,1006,CITY
1771,PATERSON,,1006,CITY
1772,ROBERTSVILLE,,1006,CITY
1773,RED BANK,,1006,CITY
1774,RIDGEFIELD,,1006,CITY
1775,RIDGEWOOD,,1006,CITY
